,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
1317,53863921,2022-09-28,77921432,f,Unincorporated Areas,36.96734,-121.90055,Entire home/apt,False,False,$851.00,0,,,,,,,,,
1318,53864212,2022-09-28,436307668,t,Unincorporated Areas,36.98045,-121.9856,Entire home/apt,False,False,$110.00,18,2022-08-02,5.0,5.0,4.89,5.0,5.0,4.94,4.94,3.7
1319,53887792,2022-09-28,409550499,t,Unincorporated Areas,37.00355,-121.90071,Entire home/apt,False,False,$177.00,6,2022-02-26,5.0,5.0,5.0,5.0,5.0,4.83,5.0,0.68
1320,53923203,2022-09-28,14970074,t,City of Santa Cruz,36.967613,-122.025475,Entire home/apt,False,False,$358.00,19,2022-09-23,4.84,4.95,5.0,5.0,5.0,4.79,5.0,6.0
1321,53978921,2022-09-28,32933954,f,City of Santa Cruz,36.96426,-122.02325,Private room,False,False,$83.00,3,2022-07-23,5.0,5.0,5.0,5.0,5.0,4.67,5.0,0.39
1322,53982266,2022-09-28,5355309,t,Unincorporated Areas,37.03842,-122.06809,Private room,False,False,$167.00,0,,,,,,,,,
1323,54036354,2022-09-28,45769822,f,Unincorporated Areas,36.99133,-121.94983,Private room,False,False,$200.00,1,2022-01-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12
1324,54071144,2022-09-28,90159502,f,Unincorporated Areas,36.97479,-121.76721,Entire home/apt,False,False,$135.00,8,2022-08-22,4.88,5.0,5.0,5.0,5.0,5.0,5.0,1.1
1325,54085133,2022-09-28,2140089,t,City of Capitola,36.95797,-121.97966,Entire home/apt,False,False,$309.00,21,2022-09-02,4.57,4.67,4.57,4.95,4.81,4.48,4.52,2.34
1326,54091696,2022-09-28,14301573,t,Unincorporated Areas,37.16082,-121.96948,Entire home/apt,False,False,$175.00,10,2022-08-17,5.0,4.9,5.0,5.0,5.0,4.8,4.9,1.15
1327,54113261,2022-09-28,56120235,t,Unincorporated Areas,37.08711,-122.04776,Entire home/apt,True,False,$182.00,39,2022-09-25,4.85,4.95,4.92,4.92,4.97,4.82,4.85,5.13
1328,54129029,2022-09-28,311208435,t,City of Santa Cruz,36.96676,-122.02434,Shared room,False,False,$49.00,59,2022-09-26,4.81,4.92,4.86,4.85,4.76,4.81,4.75,6.81
1329,54168988,2022-09-28,354846505,t,Unincorporated Areas,36.87204,-121.82396,Entire home/apt,False,False,$547.00,28,2022-09-25,5.0,4.96,4.96,4.96,5.0,4.93,5.0,3.7
1330,54178167,2022-09-28,25307574,t,Unincorporated Areas,36.96317394660535,-121.98243792772767,Entire home/apt,False,False,$202.00,2,2022-02-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.24
1331,54231866,2022-09-28,232560817,f,City of Capitola,36.97577,-121.94667,Entire home/apt,False,False,$100.00,2,2022-06-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.29
1332,54262828,2022-09-28,440038096,t,City of Capitola,36.973225,-121.952507,Entire home/apt,False,False,$270.00,24,2022-09-20,4.96,4.88,4.88,5.0,5.0,4.75,4.92,3.73
1333,54267331,2022-09-28,440088909,f,City of Capitola,36.95933,-121.97178,Entire home/apt,False,False,$139.00,15,2022-09-18,4.93,5.0,4.93,4.87,5.0,4.93,5.0,2.05
1334,54292238,2022-09-28,440333234,f,City of Capitola,36.96034,-121.97069,Entire home/apt,False,False,$105.00,2,2022-07-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.35
1335,54319172,2022-09-28,89027907,t,City of Santa Cruz,36.968029,-121.998207,Entire home/apt,False,False,$300.00,31,2022-09-26,4.97,4.9,4.9,4.97,5.0,4.94,4.9,4.56
1336,54344092,2022-09-28,440038096,t,City of Capitola,36.973225,-121.952507,Entire home/apt,False,False,$276.00,28,2022-09-18,4.86,5.0,4.89,4.82,4.93,4.75,4.89,3.82
1337,54344172,2022-09-28,440038096,t,City of Capitola,36.973225,-121.952507,Entire home/apt,False,False,$277.00,17,2022-08-21,4.94,5.0,5.0,5.0,5.0,4.76,5.0,2.63
1338,54384905,2022-09-28,8733947,t,Unincorporated Areas,37.12872,-122.12501,Private room,True,True,$127.00,21,2022-09-27,4.95,4.9,4.95,5.0,4.95,4.9,4.95,2.6
1339,54396952,2022-09-28,431046336,t,City of Capitola,36.97105,-121.95203,Entire home/apt,False,False,$286.00,85,2022-09-25,4.87,4.99,4.89,4.99,4.92,4.8,4.89,11.14
